Date,Open,High,Low,Close,Adj Close,Volume
2020-06-05,5.036018,5.370007,4.996726,5.239031,5.239031,4451663
2020-06-08,5.337263,5.854617,5.252128,5.841519,5.841519,5136370
2020-06-09,5.651604,5.671251,5.140799,5.284872,5.284872,6900818
2020-06-10,5.324165,5.370007,4.950884,5.003274,5.003274,4622382
2020-06-11,4.682384,4.865750,4.564506,4.584152,4.584152,5802447
2020-06-12,4.793713,4.865750,4.557957,4.826457,4.826457,5417033
2020-06-15,4.643091,4.859201,4.590701,4.819908,4.819908,3997991
2020-06-16,5.042567,5.134250,4.885396,5.022921,5.022921,5354273
2020-06-17,5.140799,5.140799,4.564506,4.610347,4.610347,7560482
2020-06-18,4.616896,4.846103,4.590701,4.636542,4.636542,7339373
2020-06-19,4.708579,5.160445,4.688933,4.767518,4.767518,12843750
2020-06-22,4.754420,4.780616,4.597250,4.675835,4.675835,4508926
2020-06-23,4.728225,4.924689,4.682384,4.885396,4.885396,3959358
2020-06-24,4.793713,4.865750,4.531762,4.734774,4.734774,5187066
2020-06-25,4.708579,5.055665,4.669286,5.042567,5.042567,5371375
2020-06-26,4.977079,5.049116,4.708579,4.721676,4.721676,6369728
2020-06-29,4.787164,4.977079,4.747872,4.891945,4.891945,3425977
2020-06-30,4.885396,5.343811,4.885396,5.016372,5.016372,6632830
2020-07-01,4.977079,5.075311,4.865750,4.996726,4.996726,2997348
2020-07-02,5.193189,5.278324,4.970530,5.081860,5.081860,3571653
2020-07-06,5.206287,5.664702,5.193189,5.553373,5.553373,6900360
2020-07-07,5.507531,5.821873,5.415848,5.638507,5.638507,6547471
2020-07-08,5.658153,6.234447,5.618861,6.168959,6.168959,7564300
2020-07-09,6.326130,6.915521,6.168959,6.404715,6.404715,13197403
2020-07-10,6.339227,6.430910,5.952849,6.044532,6.044532,5580727
2020-07-13,6.142764,6.352325,5.802227,5.874263,5.874263,6374614
2020-07-14,5.756385,6.653569,5.743287,6.463654,6.463654,9943061
2020-07-15,6.876228,7.125082,6.483301,6.941716,6.941716,11455249
2020-07-16,6.850033,6.935167,6.352325,6.411264,6.411264,9186585
2020-07-17,6.496398,6.574984,6.077276,6.293386,6.293386,7530248
2020-07-20,6.385069,6.981009,6.339227,6.777996,6.777996,8489051
2020-07-21,6.797642,6.863130,6.299935,6.411264,6.411264,6419355
2020-07-22,6.398166,6.535691,6.260642,6.457105,6.457105,4070371
2020-07-23,6.476752,6.791094,6.378520,6.627374,6.627374,6084484
2020-07-24,6.502947,6.581532,6.240995,6.378520,6.378520,3737333
2020-07-27,6.450557,6.994106,6.398166,6.981009,6.981009,5463148
2020-07-28,6.908972,6.941716,6.378520,6.411264,6.411264,6765221
